"word" "definition"
"넘어-가다" "바로 있던 것이 저쪽으로 기울어지거나 쓰러지다."
"넘어-가다" "【…에/에게】사람, 물건, 권리, 책임, 일 따위가 한쪽에서 다른 쪽으로 옮아가다."
"넘어-가다" "다음 순서나 시기, 또는 다른 경우로 옮아가다."
"넘어-가다" "해나 달이 지다."
"넘어-가다" "종이나 책장 따위가 젖혀지다."
"넘어-가다" "숨이 멎다."
"넘어-가다" "속임수에 빠지거나 마음을 뺏기다."
"넘어-가다" "음식물이나 침이 목구멍을 지나가다."
"넘어-가다" "((‘-게’ 대신에 다른 부류의 부사나 부사어가 쓰이기도 한다))"
"넘어-가다" "어떤 상황이 별일 없이 지나가다."
"넘어-가다" "노래나 목소리가 막힘없이 잘 진행되다."
"넘어-가다" "일정한 시간, 시기, 범위 따위를 넘어서 지나다."
"넘어-가다" "일정한 기준이나 한계 따위를 넘어서 지나다."
"넘어-가다" "높은 부분의 위를 지나서 가다."
"넘어-가다" "경계를 건너서 가다."
"넘어-가다" "((‘-게’ 대신에 ‘-이/히’ 따위 부사나 부사어가 쓰이기도 한다))"
"넘어-가다" "어떤 일이나 문제를 소홀히 여겨 그냥 지나치다."
