"word" "definition"
"떨어-지다" "위에서 아래로 내려지다."
"떨어-지다" "어떤 상태나 처지에 빠지다."
"떨어-지다" "진지나 성 따위가 적에게 넘어가게 되다."
"떨어-지다" "정이 없어지거나 멀어지다."
"떨어-지다" "급한 일이나 임무가 맡겨지다."
"떨어-지다" "명령이나 허락 따위가 내려지다."
"떨어-지다" "【…보다】((‘…보다’ 대신에 ‘…에 비하여’가 쓰이기도 한다))다른 것보다 수준이 처지거나 못하다."
"떨어-지다" "시험, 선거, 선발 따위에 응하여 뽑히지 못하다."
"떨어-지다" "함께 하거나 따르지 않고 뒤에 처지다."
"떨어-지다" "달렸거나 붙었던 것이 갈라지거나 떼어지다."
"떨어-지다" "지녔던 것이 흘러서 빠지다."
"떨어-지다" "((‘…과’가 나타나지 않을 때는 여럿임을 뜻하는 말이 주어로 온다))"
"떨어-지다" "관계가 끊어지거나 헤어지다."
"떨어-지다" "【…에서】일정한 거리를 두고 있다."
"떨어-지다" "값, 기온, 수준, 형세 따위가 낮아지거나 내려가다."
"떨어-지다" "병이나 습관 따위가 없어지다."
"떨어-지다" "해, 달이 서쪽으로 지다."
"떨어-지다" "이익이 남다."
"떨어-지다" "뒤를 대지 못하여 남아 있는 것이 없게 되다."
"떨어-지다" "입맛이 없어지다."
"떨어-지다" "일이 끝나다."
"떨어-지다" "옷이나 신발 따위가 해어져서 못 쓰게 되다."
"떨어-지다" "숨이 끊어지다."
"떨어-지다" "밴 아이가 유산이 되다."
"떨어-지다" "나눗셈에서 나머지가 없이 나뉘다."
"떨어-지다" "셈에서 다 치르지 못하고 얼마가 남게 되다."
"떨어-지다" "말이 입 밖으로 나오다."
"떨어-지다" "지정된 신호 따위가 나타나다."
"떨어-지다" "『북한어』있거나 생겼던 것이 없어지다."
"떨어-지다" "『북한어』일자리에서 밀려 나오다."
"떨어-지다" "『북한어』미치어 낙착되다."
